1,30,0,0,0
1,31,1,1,1
2,58,2,2,2
3,46,3,3,3
4,65,4,4,4
5,48,5,5,5
6,51,6,6,6
7,50,7,7,7
8,48,8,8,8
9,49,9,9,9
10,55,10,10,10
11,45,11,11,11
12,29,12,12,12
13,53,13,13,13
14,56,14,14,14
15,49,15,15,15
16,57,16,16,16
17,52,17,17,17
18,41,18,18,18
19,52,19,19,19
20,45,20,20,20
21,66,21,21,21
22,52,22,22,22
23,52,23,23,23
24,44,24,24,24
25,52,25,25,25
26,47,26,26,26
27,52,27,27,27
28,56,28,28,28
29,63,29,29,29
30,57,30,30,30
31,47,31,31,31
32,51,32,32,32
33,43,33,33,33
34,50,34,34,34
35,53,35,35,35
36,53,36,36,36
37,48,37,37,37
38,43,38,38,38
39,39,39,39,39
40,57,40,40,40
41,52,41,41,41
42,58,42,42,42
43,50,43,43,43
44,37,44,44,44
45,38,45,45,45
46,51,46,46,46
47,51,47,47,47
48,52,48,48,48
49,62,49,49,49
50,41,50,50,50
51,46,51,51,51
52,51,52,52,52
53,55,53,53,53
54,52,54,54,54
55,57,55,55,55
56,59,56,56,56
57,48,57,57,57
58,49,58,58,58
59,51,59,59,59
60,52,60,60,60
61,56,61,61,61
62,43,62,62,62
63,45,63,63,63
64,55,64,64,64
65,47,65,65,65
66,55,66,66,66
67,54,67,67,67
68,52,68,68,68
69,44,69,69,69
70,50,70,70,70
71,47,71,71,71
72,46,72,72,72
73,57,73,73,73
74,56,74,74,74
75,43,75,75,75
76,50,76,76,76
77,60,77,77,77
78,40,78,78,78
79,47,79,79,79
80,48,80,80,80
81,48,81,81,81
82,50,82,82,82
83,47,83,83,83
84,54,84,84,84
85,42,85,85,85
86,42,86,86,86
87,53,87,87,87
88,46,88,88,88
89,51,89,89,89
90,52,90,90,90
91,53,91,91,91
92,44,92,92,92
93,53,93,93,93
94,57,94,94,94
95,67,95,95,95
96,42,96,96,96
97,58,97,97,97
98,47,98,98,98
99,46,99,99,99
100,38,100,100,100
101,44,101,101,101
102,47,102,102,102
103,38,103,103,103
104,56,104,104,104
105,36,105,105,105
106,67,106,106,106
107,53,107,107,107
108,52,108,108,108
109,44,109,109,109
110,51,110,110,110
111,37,111,111,111
112,52,112,112,112
113,49,113,113,113
114,56,114,114,114
115,43,115,115,115
116,51,116,116,116
117,53,117,117,117
118,55,118,118,118
119,43,119,119,119
